2.83,6.79,A
8.41,3.45,B
1.31,1.32,A
6.37,4.34,B
.89,3.31,A
6.84,.42,B
1.10,5.14,A
6.51,2.39,B
1.04,6.39,A
6.93,8.00,B
1.24,7.57,A
6.52,4.41,B
.78,2.74,A
8.43,2.08,B
.78,6.48,A
7.34,1.86,B
.97,4.87,A
7.78,3.99,B
2.16,4.12,A
8.06,.01,B
3.29,2.55,A
6.28,1.97,B
1.26,.81,A
8.89,.22,B
7.93,8.75,B
2.56,3.73,A
7.72,3.49,B
.25,2.67,A
7.03,8.21,B
.66,7.97,A
8.35,5.18,B
1.74,8.20,A
7.75,5.30,B
2.23,4.97,A
6.63,2.54,B
1.95,3.39,A
7.11,4.31,B
2.98,8.88,A
8.17,5.64,B
2.28,8.81,A
7.06,.39,B
1.94,7.70,A
7.24,8.14,B
3.27,3.31,A
6.67,1.87,B
2.16,2.47,A
6.83,3.94,B
2.22,8.12,A
6.21,7.19,B
2.54,1.52,A
8.38,.42,B
1.56,.50,A
7.52,3.00,B
1.17,2.67,A
7.71,5.45,B
1.97,5.22,A
7.02,2.97,B
2.84,4.59,A
7.14,3.73,B
1.89,1.98,A
7.94,4.70,B
.60,6.34,A
6.38,3.45,B
2.19,7.59,A
7.25,3.85,B
.21,7.74,A
8.62,.42,B
2.18,3.55,A
8.98,.39,B
1.98,6.45,A
8.50,3.58,B
.05,5.56,A
7.49,2.59,B
1.11,3.66,A
8.53,3.90,B
3.30,.10,A
8.45,1.80,B
1.85,5.94,A
6.31,5.30,B
2.87,6.65,A
6.14,1.79,B
3.34,3.87,A
6.34,4.09,B
2.37,4.38,A
7.59,8.44,B
3.32,.15,A
6.42,4.09,B
1.85,4.15,A
8.59,4.71,B
.17,.63,A
8.04,3.39,B
1.24,.22,A
7.46,1.36,B
2.78,.31,A
7.97,8.36,B
1.77,6.06,A
8.28,3.92,B
2.55,8.20,A
7.16,6.58,B
2.01,3.17,A
